MUNCOD;MUNCODDV;MUNNOME;UFCOD;LATITUDE;LONGITUDE;ALTITUDE;AREA
000000;0000000;Ignorado ou exterior;00;0,00000;0,00000;0;0,000
110000;1100000;Município ignorado - RO;11;0,00000;0,00000;0;0,000
110001;1100015;Alta Floresta D'Oeste;11;-11,92900;-61,99600;350;7066,702
110002;1100023;Ariquemes;11;-9,91300;-63,04100;142;4426,558
110003;1100031;Cabixi;11;-13,49200;-60,54500;230;1314,355
110004;1100049;Cacoal;11;-11,43800;-61,44800;200;3792,638
110005;1100056;Cerejeiras;11;-13,18900;-60,81200;277;2783,305
110006;1100064;Colorado do Oeste;11;-13,11700;-60,54200;460;1451,058
110007;1100072;Corumbiara;11;-12,96200;-60,88700;340;3060,318
110008;1100080;Costa Marques;11;-12,44500;-64,22700;140;12722,168
110009;1100098;Espigão D'Oeste;11;-11,52500;-61,01300;270;4518,055
110010;1100106;Guajará-Mirim;11;-10,78300;-65,33900;128;24855,652
110011;1100114;Jaru;11;-10,43900;-62,46600;124;2944,025
110012;1100122;Ji-Paraná;11;-10,88200;-61,94400;170;6896,782
110013;1100130;Machadinho D'Oeste;11;-9,44400;-61,98100;102;8509,274
110014;1100148;Nova Brasilândia D'Oeste;11;-11,72500;-62,33100;320;1155,353
110015;1100155;Ouro Preto do Oeste;11;-10,71600;-62,24800;280;1970,151
110018;1100189;Pimenta Bueno;11;-11,67300;-61,19300;195;6241,072
110020;1100205;Porto Velho;11;-8,76200;-63,90400;85;34082,366
110025;1100254;Presidente Médici;11;-11,17600;-61,90100;185;1758,461
110026;1100262;Rio Crespo;11;-9,70500;-62,90000;0;1717,648
110028;1100288;Rolim de Moura;11;-11,73300;-61,77800;290;1457,885
110029;1100296;Santa Luzia D'Oeste;11;-11,90200;-61,77900;260;1197,781
110030;1100304;Vilhena;11;-12,74100;-60,14600;600;11518,929
110032;1100320;São Miguel do Guaporé;11;-11,68100;-62,68400;205;8007,866
110033;1100338;Nova Mamoré;11;-10,41100;-65,33100;134;10071,702
110034;1100346;Alvorada D'Oeste;11;-11,40800;-62,38900;224;3029,190
110037;1100379;Alto Alegre dos Parecis;11;-12,12800;-61,85100;405;3958,586
110040;1100403;Alto Paraíso;11;-9,71300;-63,32100;0;2651,818
110045;1100452;Buritis;11;-10,21200;-63,82900;200;3265,739
110050;1100502;Novo Horizonte do Oeste;11;-11,71000;-62,00000;0;843,446
110060;1100601;Cacaulândia;11;-10,34000;-62,89600;205;1961,745
110070;1100700;Campo Novo de Rondônia;11;-10,57100;-63,62700;0;3442,003
110080;1100809;Candeias do Jamari;11;-8,79100;-63,70100;0;6843,866
110090;1100908;Castanheiras;11;-11,42700;-61,95000;190;892,839
110092;1100924;Chupinguaia;11;-12,55200;-60,90000;360;5126,675
110094;1100940;Cujubim;11;-9,36300;-62,58500;95;3864,071
110100;1101005;Governador Jorge Teixeira;11;-10,61000;-62,73700;190;5067,381
110110;1101104;Itapuã do Oeste;11;-9,20500;-63,18000;0;4081,433
110120;1101203;Ministro Andreazza;11;-11,19600;-61,51700;400;798,065
110130;1101302;Mirante da Serra;11;-11,03000;-62,67500;230;1191,882
110140;1101401;Monte Negro;11;-10,24600;-63,29000;0;1931,371
110143;1101435;Nova União;11;-10,90400;-62,56100;250;807,179
110145;1101450;Parecis;11;-12,17500;-61,60300;355;2548,691
110146;1101468;Pimenteiras do Oeste;11;-13,48300;-61,04700;185;6014,726
110147;1101476;Primavera de Rondônia;11;-11,82800;-61,32100;210;605,698
110148;1101484;São Felipe D'Oeste;11;-11,90300;-61,50200;290;541,639
110149;1101492;São Francisco do Guaporé;11;-12,06200;-63,56900;185;4747,002
110150;1101500;Seringueiras;11;-11,79800;-63,03100;0;2251,266
110155;1101559;Teixeirópolis;11;-10,91800;-62,24900;260;459,954
