CODIGO;DESCRICAO
11;Região Norte
12;Região Norte
13;Região Norte
14;Região Norte
15;Região Norte
16;Região Norte
17;Região Norte
21;Região Nordeste
22;Região Nordeste
23;Região Nordeste
24;Região Nordeste
25;Região Nordeste
26;Região Nordeste
20;Região Nordeste
27;Região Nordeste
28;Região Nordeste
29;Região Nordeste
31;Região Sudeste
32;Região Sudeste
33;Região Sudeste
35;Região Sudeste
41;Região Sul
42;Região Sul
43;Região Sul
50;Região Centro-Oeste
51;Região Centro-Oeste
52;Região Centro-Oeste
53;Região Centro-Oeste
00;Ignorado/Exterior
